2020-11-17 19:44:57,052 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-11-17 19:44:57,081 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-11-17 19:44:57,083 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2020-11-17 19:44:57,084 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2020-11-17 19:44:57,088 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2020-11-17 19:44:57,092 INFO  SwAddin.cs: 197 - Setting up callbacks
2020-11-17 19:44:57,093 INFO  SwAddin.cs: 201 - Setting up command manager
2020-11-17 19:44:57,094 INFO  SwAddin.cs: 204 - Adding command manager
2020-11-17 19:44:57,097 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2020-11-17 19:44:57,098 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2020-11-17 19:44:57,098 INFO  SwAddin.cs: 210 - Adding event handlers
2020-11-17 19:44:57,124 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2020-11-17 19:46:44,777 INFO  SwAddin.cs: 294 - Assembly export called for file Differential robot ROS.SLDASM
2020-11-17 19:46:44,778 INFO  SwAddin.cs: 299 - Save is required
2020-11-17 19:46:44,778 INFO  SwAddin.cs: 313 - Saving assembly
2020-11-17 19:46:49,230 INFO  SwAddin.cs: 316 - Opening property manager
2020-11-17 19:46:49,253 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Differential robot ROS.SLDASM
2020-11-17 19:46:49,259 INFO  ExportHelperExtension.cs: 1136 - Found 24 in Differential robot ROS.SLDASM
2020-11-17 19:46:49,260 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Differential robot ROS.SLDASM
2020-11-17 19:46:49,260 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2020-11-17 19:46:49,261 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2020-11-17 19:46:49,263 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robotLine follower assembly-2
2020-11-17 19:46:49,264 INFO  ExportHelperExtension.cs: 1136 - Found 34 in robotLine follower assembly-2
2020-11-17 19:46:49,265 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in robotLine follower assembly-2
2020-11-17 19:46:49,265 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Differential robot ROS.SLDASM
2020-11-17 19:46:49,266 INFO  ExportHelperExtension.cs: 1136 - Found 24 in Differential robot ROS.SLDASM
2020-11-17 19:46:49,268 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Differential robot ROS.SLDASM
2020-11-17 19:46:49,269 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2020-11-17 19:46:49,280 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2020-11-17 19:46:49,280 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from robotLine follower assembly-2
2020-11-17 19:46:49,281 INFO  ExportHelperExtension.cs: 1136 - Found 34 in robotLine follower assembly-2
2020-11-17 19:46:49,282 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in robotLine follower assembly-2
2020-11-17 19:46:53,538 INFO  SwAddin.cs: 339 - Loading config tree
2020-11-17 19:46:53,542 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2020-11-17 19:46:53,545 INFO  SwAddin.cs: 344 - Showing property manager
2020-11-17 19:48:35,716 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-11-17 19:48:35,914 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-11-17 19:48:36,132 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-11-17 19:49:07,254 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-11-17 19:49:17,128 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-11-17 19:50:24,140 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-11-17 19:51:38,628 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2020-11-17 19:51:38,956 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-11-17 19:51:53,159 INFO  SwAddin.cs: 294 - Assembly export called for file Differential robot ROS.SLDASM
2020-11-17 19:51:53,159 INFO  SwAddin.cs: 299 - Save is required
2020-11-17 19:51:53,159 INFO  SwAddin.cs: 313 - Saving assembly
2020-11-17 19:51:57,533 INFO  SwAddin.cs: 316 - Opening property manager
2020-11-17 19:51:57,533 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Differential robot ROS.SLDASM
2020-11-17 19:51:57,533 INFO  ExportHelperExtension.cs: 1136 - Found 25 in Differential robot ROS.SLDASM
2020-11-17 19:51:57,533 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Differential robot ROS.SLDASM
2020-11-17 19:51:57,533 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2020-11-17 19:51:57,533 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robotLine follower assembly-2
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1136 - Found 34 in robotLine follower assembly-2
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in robotLine follower assembly-2
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Differential robot ROS.SLDASM
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1136 - Found 25 in Differential robot ROS.SLDASM
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Differential robot ROS.SLDASM
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from robotLine follower assembly-2
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1136 - Found 34 in robotLine follower assembly-2
2020-11-17 19:51:57,549 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in robotLine follower assembly-2
2020-11-17 19:52:02,002 INFO  SwAddin.cs: 339 - Loading config tree
2020-11-17 19:52:02,017 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
